complex,complex_annotation,func,protein,subunits
CPLX0-7533,outer membrane porin C,outer membrane porin C,OmpC,3.0
CPLX0-7534,outer membrane porin F,outer membrane porin F,OmpF,3.0
CPLX0-7530,outer membrane porin PhoE,outer membrane porin PhoE,PhoE,3.0
CPLX0-7878,oxalyl-CoA decarboxylase,oxalyl-CoA decarboxylase,Oxc,4.0
CPLX0-2,oxidized flavorubredoxin,anaerobic nitric oxide reductase flavorubredoxin,NorV,4.0
MONOMER0-2863,oxidized ribonucleoside-triphosphate reductase,anaerobic ribonucleoside-triphosphate reductase,NrdD,2.0
CPLX0-8199,oxygen-sensing c-di-GMP phosphodiesterase DosP,oxygen-sensing c-di-GMP phosphodiesterase DosP,DosP,2.0
COADTRI-CPLX,pantetheine-phosphate adenylyltransferase,pantetheine-phosphate adenylyltransferase,CoaD,6.0
PANTOTHENATE-KIN-CPLX,pantothenate kinase,pantothenate kinase,CoaA,2.0
PANTOATE-BETA-ALANINE-LIG-CPLX,pantothenate synthetase,pantothenate synthetase,PanC,2.0
CPLX0-3001,peptidase D,peptidase D,PepD,2.0
CPLX0-3041,peptidase T,peptidase T,PepT,2.0
CPLX0-8097,peptide antibiotic transporter,peptide antibiotic/peptide nucleic acid transporter,SbmA,2.0
CPLX0-3201,peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase,peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase,MepA,2.0
CPLX0-7717,peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcA,peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcA,MrcA,2.0
CPLX0-8189,peptidyl-lysine N-acetyltransferase,peptidyl-lysine N-acetyltransferase,YfiQ,4.0
CPLX0-801,periplasmic acid stress chaperone HdeA,periplasmic acid stress chaperone HdeA,HdeA,2.0
CPLX0-8207,periplasmic acid stress chaperone HdeB,periplasmic acid stress chaperone HdeB,HdeB,2.0
CPLX0-7711,periplasmic chaperone Skp,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,LpxD,3.0
CPLX0-921,"periplasmic chaperone, inhibitor of vertebrate C-type lysozyme","periplasmic chaperone, inhibitor of vertebrate C-type lysozyme",Ivy,2.0
NAP-CPLX,periplasmic nitrate reductase,periplasmic nitrate reductase subunit NapA,NapA,1.0
NAP-CPLX,periplasmic nitrate reductase,periplasmic nitrate reductase cytochrome c550 protein,NapB,1.0
NRFMULTI-CPLX,periplasmic nitrite reductase NrfAB,cytochrome c552 nitrite reductase,NrfA,1.0
CPLX-722,periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase,periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase,AppA,2.0
CPLX0-8155,periplasmic protein CpxP,periplasmic protein CpxP,CpxP,2.0
CPLX0-8213,periplasmic protein-L-methionine sulfoxide reducing system,periplasmic protein-L-methionine sulfoxide reductase catalytic subunit,YedY,1.0
CPLX0-8213,periplasmic protein-L-methionine sulfoxide reducing system,periplasmic protein-L-methionine sulfoxide reductase heme binding subunit,YedZ,1.0
CPLX0-8187,periplasmic serine endoprotease,periplasmic serine endoprotease,DegQ,12.0
CPLX0-2921,periplasmic serine endoprotease DegP,periplasmic serine endoprotease DegP,DegP,12.0
PHENDEHYD-CPLX,phenylacetaldehyde dehydrogenase,phenylacetaldehyde dehydrogenase,FeaB,4.0
CPLX0-1762,"phenylacetyl-CoA 1,2-epoxidase","phenylacetyl-CoA 1,2-epoxidase subunit B",PaaB,1.0
CPLX0-1762,"phenylacetyl-CoA 1,2-epoxidase","phenylacetyl-CoA 1,2-epoxidase, structural subunit",PaaC,1.0
CPLX0-1762,"phenylacetyl-CoA 1,2-epoxidase","phenylacetyl-CoA 1,2-epoxidase, reductase subunit",PaaE,1.0
PHES-CPLX,phenylalanine-tRNA ligase,phenylalanine-tRNA ligase subunit α,PheS,2.0
PHES-CPLX,phenylalanine-tRNA ligase,phenylalanine-tRNA ligase subunit β,PheT,2.0
ABC-27-CPLX,phosphate ABC transporter,phosphate ABC transporter membrane subunit PstA,PstA,1.0
ABC-27-CPLX,phosphate ABC transporter,phosphate ABC transporter ATP binding subunit,PstB,2.0
ABC-27-CPLX,phosphate ABC transporter,phosphate ABC transporter membrane subunit PstC,PstC,1.0
ABC-27-CPLX,phosphate ABC transporter,phosphate ABC transporter periplasmic binding protein,PstS,1.0
PHOSACETYLTRANS-CPLX,phosphate acetyltransferase,phosphate acetyltransferase,Pta,6.0
CPLX0-8113,phosphate signaling protein PhoU,negative regulator of the pho regulon,PhoU,2.0
PAPSSULFOTRANS-CPLX,phosphoadenosine phosphosulfate reductase,phosphoadenosine phosphosulfate reductase,CysH,2.0
CPLX0-8248,phosphodiesterase YfcE,phosphodiesterase YfcE,YfcE,4.0
PEPCARBOX-CPLX,phosphoenolpyruvate carboxylase,phosphoenolpyruvate carboxylase,Ppc,4.0
PEPSYNTH-CPLX,phosphoenolpyruvate synthetase,phosphoenolpyruvate synthetase,PpsA,2.0
CPLX0-7837,phosphoenolpyruvate synthetase regulatory protein,posphoenolpyruvate synthetase regulatory protein,PpsR,4.0
PGLYCDEHYDROG-CPLX,phosphoglycerate dehydrogenase,phosphoglycerate dehydrogenase,SerA,4.0
SAICARSYN-CPLX,phosphoribosylaminoimidazole-succinocarboxamide synthase,adenine deaminase,Ade,3.0
AIRS-CPLX,phosphoribosylformylglycinamide cyclo-ligase,FGAMSYN-MONOMER,PurL,2.0
PSERTRANSAM-CPLX,phosphoserine/phosphohydroxythreonine aminotransferase,phosphoserine/phosphohydroxythreonine aminotransferase,SerC,2.0
CPLX0-7994,poly-N-acetyl-D-glucosamine synthase,poly-N-acetyl-D-glucosamine synthase subunit PgaD,PgaD,1.0
CPLX0-3521,polynucleotide phosphorylase,polynucleotide phosphorylase,Pnp,3.0
PPK-CPLX,polyphosphate kinase,polyphosphate kinase,Ppk,2.0
CPLX0-7529,polysaccharide export complex,protein-tyrosine kinase Wzc,Wzc,4.0
PORPHOBILSYNTH-CPLX,porphobilinogen synthase,porphobilinogen synthase,HemB,8.0
CPLX0-7987,predicted enamine/imine deaminase,putative enamine/imine deaminase,TdcF,3.0
CPLX0-7422,predicted rRNA methyltransferase,putative rRNA methyltransferase,LasT,2.0
CPLX0-7801,"predicted structural protein, ethanolamine utilization microcompartment","putative structural protein, ethanolamine utilization microcompartment",EutL,3.0
CPLX0-1841,predicted xanthine dehydrogenase,fused putative xanthine/hypoxanthine oxidase: molybdopterin-binding subunit and Fe-S binding subunit,XdhD,1.0
CPLX0-1841,predicted xanthine dehydrogenase,putative oxidoreductase,YgfM,1.0
CPLX0-0,primosomal protein DnaT,primosomal protein DnaT,DnaT,3.0
CPLX0-3,primosomal replication protein N,primosomal replication protein N,PriB,2.0
CPLX0-3922,primosome,replicative DNA helicase,DnaB,6.0
CPLX0-3922,primosome,DNA primase,DnaG,1.0
CPLX0-3922,primosome,primosomal protein DnaT,DnaT,3.0
CPLX0-3922,primosome,primosome factor N',PriA,1.0
CPLX0-3922,primosome,primosomal replication protein N,PriB,2.0
CPLX0-3922,primosome,primosomal replication protein N'',PriC,1.0
PROS-CPLX,proline-tRNA ligase,proline-tRNA ligase,ProS,2.0
CPLX0-7766,proofreading thioesterase in enterobactin biosynthesis,proofreading thioesterase in enterobactin biosynthesis,EntH,4.0
CPLX0-2941,"protease IV, a signal peptide peptidase","protease IV, a signal peptide peptidase",SppA,4.0
CPLX0-2521,protein MoaB,protein MoaB,MoaB,6.0
DSBC-CPLX,protein disulfide isomerase DsbC,protein disulfide isomerase DsbC,DsbC,2.0
CPLX0-8004,protein sulfenic acid reductase DsbGoxidized,protein sulfenic acid reductase and chaperone DsbG,DsbG,2.0
CPLX-9344,protein sulfenic acid reductase DsbGreduced,protein sulfenic acid reductase and chaperone DsbG,DsbG,2.0
DSBG-CPLX,protein sulfenic acid reductase and chaperone DsbG,protein sulfenic acid reductase and chaperone DsbG,DsbG,2.0
CPLX0-8089,protein translocation ATPase,protein translocation ATPase,SecA,2.0
CPLX0-861,protein/nucleic acid deglycase 1,protein/nucleic acid deglycase 1,HchA,2.0
CPLX0-7960,protein/nucleic acid deglycase 3,protein/nucleic acid deglycase 3,YajL,2.0
CPLX0-7811,protoporphyrinogen oxidase,protoporphyrinogen oxidase,HemG,4.0
CPLX0-8233,pseudouridine-5'-phosphate glycosidase,pseudouridine-5'-phosphate glycosidase,PsuG,3.0
CPLX0-7755,purine nucleoside phosphoramidase,purine nucleoside phosphoramidase,HinT,2.0
DEOD-CPLX,purine nucleoside phosphorylase,purine nucleoside phosphorylase,DeoD,6.0
HCAMULTI-CPLX,putative 3-phenylpropionate/cinnamate dioxygenase,putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin subunit,HcaC,1.0
HCAMULTI-CPLX,putative 3-phenylpropionate/cinnamate dioxygenase,putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin reductase subunit,HcaD,1.0
HCAMULTI-CPLX,putative 3-phenylpropionate/cinnamate dioxygenase,putative 3-phenylpropionate/cinnamate dioxygenase subunit α,HcaE,1.0
CPLX0-902,putative 4-oxalocrotonate tautomerase (4-OT),putative 4-oxalocrotonate tautomerase (4-OT),PptA,2.0
ABC-57-CPLX,putative ABC exporter YbhFSR,putative ABC exporter ATP binding subunit,YbhF,1.0
ABC-57-CPLX,putative ABC exporter YbhFSR,putative ABC exporter membrane subunit YbhR,YbhR,1.0
ABC-57-CPLX,putative ABC exporter YbhFSR,putative ABC exporter membrane subunit YbhS,YbhS,1.0
CPLX0-8120,putative ABC transporter ArtPQMI,putative ABC transporter periplasmic binding protein ArtI,ArtI,1.0
CPLX0-8120,putative ABC transporter ArtPQMI,L-arginine ABC transporter membrane subunit ArtM,ArtM,1.0
CPLX0-8120,putative ABC transporter ArtPQMI,L-arginine ABC transporter ATP binding subunit,ArtP,2.0
CPLX0-8120,putative ABC transporter ArtPQMI,L-arginine ABC transporter membrane subunit ArtQ,ArtQ,1.0
ABC-59-CPLX,"putative D,D-dipeptide ABC transporter","putative D,D-dipeptide ABC transporter periplasmic binding protein",DdpA,1.0
ABC-59-CPLX,"putative D,D-dipeptide ABC transporter","putative D,D-dipeptide ABC transporter ATP-binding subunit DdpF",DdpF,1.0
CPLX-160,putative PTS enzyme II FrwCBDPtsA,putative PTS enzyme IIB component FrwB,FrwB,1.0
CPLX-160,putative PTS enzyme II FrwCBDPtsA,putative PTS multiphosphoryl transfer protein PtsA,Ptsa,1.0
CPLX0-8119,putative PTS enzyme II FryBCA,putative PTS multiphosphoryl transfer protein FryA,FryA,1.0
EIISGC,putative PTS enzyme II SgcBCA,putative PTS enzyme IIA component SgcA,SgcA,1.0
CPLX0-7835,putative ethanolamine catabolic microcompartment shell protein EutM,putative ethanolamine catabolic microcompartment shell protein EutM,EutM,6.0
CPLX0-661,putative hydrolase,putative hydrolase,YcaC,8.0
CPLX0-3923,putative monooxygenase YdhR,putative monooxygenase YdhR,YdhR,2.0
CPLX0-7816,putative nucleoid-associated protein YbaB,putative nucleoid-associated protein YbaB,YbaB,2.0
ABC-41-CPLX,putative oligopeptide ABC transporter,putative oligopeptide ABC transporter periplasmic binding protein YejA,YejA,1.0
ABC-41-CPLX,putative oligopeptide ABC transporter,putative oligopeptide ABC transporter membrane subunit YejB,YejB,1.0
ABC-41-CPLX,putative oligopeptide ABC transporter,putative oligopeptide ABC transporter membrane subunit YejE,YejE,1.0
ABC-41-CPLX,putative oligopeptide ABC transporter,putative oligopeptide ABC transporter ATP binding subunit YejF,YejF,1.0
CPLX0-7668,putative oxidoreductase YdjA,putative oxidoreductase YdjA,YdjA,2.0
CPLX0-8177,putative phosphatidylethanolamine synthesis regulator GnsA,putative phosphatidylethanolamine synthesis regulator GnsA,GnsA,2.0
CPLX0-3141,putative quinol monooxygenase YgiN,putative quinol monooxygenase YgiN,YgiN,2.0
QOR-CPLX,putative quinone oxidoreductase 1,putative quinone oxidoreductase 1,QorA,2.0
CPLX0-8269,putative tRNA-binding protein YgjH,putative tRNA-binding protein YgjH,YgjH,2.0
ABC-21-CPLX,"putative transport complex, ABC superfamily",putative ABC transporter ATP-binding protein YadG,YadG,1.0
ABC-21-CPLX,"putative transport complex, ABC superfamily",putative ABC transporter membrane subunit YadH,YadH,1.0
ABC-48-CPLX,"putative transport complex, ABC superfamily",putative ABC transporter periplasmic binding protein YnjB,YnjB,1.0
ABC-48-CPLX,"putative transport complex, ABC superfamily",putative ABC transporter membrane subunit YnjC,YnjC,1.0
ABC-48-CPLX,"putative transport complex, ABC superfamily",putative ABC transporter ATP-binding protein YnjD,YnjD,1.0
ABC-51-CPLX,"putative transport complex, ABC superfamily",putative ABC transporter periplasmic binding protein / polyhydroxybutyrate synthase,YdcS,1.0
ABC-51-CPLX,"putative transport complex, ABC superfamily",putative ABC transporter ATP-binding protein YdcT,YdcT,1.0
ABC-51-CPLX,"putative transport complex, ABC superfamily",putative ABC transporter membrane subunit YdcU,YdcU,1.0
ABC-52-CPLX,"putative transport complex, ABC superfamily",putative ABC transporter ATP-binding subunit YhdZ,YhdZ,1.0
ABC-60-CPLX,"putative transport complex, ABC superfamily",putative ABC transporter periplasmic binding protein YphF,YphF,1.0
ABC-61-CPLX,"putative transport complex, ABC superfamily",putative ABC transporter ATP-binding protein YbbA,YbbA,1.0
ABC-61-CPLX,"putative transport complex, ABC superfamily",putative ABC transporter membrane subunit YbbP,YbbP,1.0
CPLX0-761,putative xanthine dehydrogenase,putative xanthine dehydrogenase molybdenum-binding subunit XdhA,XdhA,1.0
CPLX0-761,putative xanthine dehydrogenase,putative xanthine dehydrogenase FAD-binding subunit XdhB,XdhB,1.0
CPLX0-761,putative xanthine dehydrogenase,putative xanthine dehydrogenase iron-sulfur-binding subunit XdhC,XdhC,1.0
ABC-29-CPLX,putrescine ABC exporter,putrescine ABC exporter membrane subunit SapB,SapB,1.0
ABC-29-CPLX,putrescine ABC exporter,putrescine ABC exporter membrane protein SapC,SapC,1.0
ABC-29-CPLX,putrescine ABC exporter,putrescine ABC exporter ATP binding protein SapD,SapD,1.0
ABC-29-CPLX,putrescine ABC exporter,putrescine ABC exporter ATP binding protein SapF,SapF,1.0
ABC-25-CPLX,putrescine ABC transporter,putrescine ABC transporter periplasmic binding protein,PotF,1.0
ABC-25-CPLX,putrescine ABC transporter,putrescine ABC transporter ATP binding subunit,PotG,2.0
ABC-25-CPLX,putrescine ABC transporter,putrescine ABC transporter membrane subunit PotH,PotH,1.0
ABC-25-CPLX,putrescine ABC transporter,putrescine ABC transporter membrane subunit PotI,PotI,1.0
CPLX0-8159,putrescine aminotransferase,putrescine aminotransferase,PatA,2.0
PYRNUTRANSHYDROGEN-CPLX,pyridine nucleotide transhydrogenase,pyridine nucleotide transhydrogenase subunit α,PntA,2.0
PYRNUTRANSHYDROGEN-CPLX,pyridine nucleotide transhydrogenase,pyridine nucleotide transhydrogenase subunit β,PntB,2.0
CPLX0-8031,pyridoxal kinase 2,pyridoxal kinase 2,PdxY,2.0
PDXK-CPLX,pyridoxal kinase I / hydroxymethylpyrimidine kinase,pyridoxal kinase I,PdxK,2.0
PDXH-CPLX,pyridoxine 5'-phosphate oxidase,pyridoxine/pyridoxamine 5'-phosphate oxidase,PdxH,2.0
CPLX0-321,pyridoxine 5'-phosphate synthase,pyridoxine 5'-phosphate synthase,PdxJ,8.0
CPLX0-8280,pyrimidine-specific ribonucleoside hydrolase RihA,pyrimidine-specific ribonucleoside hydrolase RihA,RihA,4.0
PYRROLINECARBREDUCT-CPLX,pyrroline-5-carboxylate reductase,pyrroline-5-carboxylate reductase,ProC,10.0
E1P-CPLX,pyruvate dehydrogenase,pyruvate dehydrogenase E1 component,AceE,2.0
PYRUVATEDEH-CPLX,pyruvate dehydrogenase,pyruvate dehydrogenase E1 component,AceE,24.0
PYRUVATEDEH-CPLX,pyruvate dehydrogenase,"AceF-dihydrolipoate // ""AceF-S-acetyldihydrolipoate"" // ""AceF-lipoate"" // ""pyruvate dehydrogenase, E2 subunit""",AceF,24.0
PYRUVATEDEH-CPLX,pyruvate dehydrogenase,lipoamide dehydrogenase,LpdA,12.0
PYRUVFORMLY-INACTIVE-CPLX,pyruvate formate-lyase (inactive),pyruvate formate-lyase,PflB,2.0
PKI-COMPLEX,pyruvate kinase I,pyruvate kinase I,PykF,4.0
PKII-CPLX,pyruvate kinase II,pyruvate kinase II,PykA,4.0
PYRUVOXID-CPLX,pyruvate oxidase,pyruvate oxidase,PoxB,4.0
QUINOPRIBOTRANS-CPLX,quinolinate phosphoribosyltransferase (decarboxylating),quinolinate phosphoribosyltransferase (decarboxylating),NadC,2.0
CPLX0-7719,quinolinate synthase,quinolinate synthase,NadA,2.0
CPLX0-1863,radiation resistance protein YbgI,radiation resistance protein YbgI,YbgI,6.0
CPLX0-8240,redox-responsive ATPase YchF,redox-responsive ATPase YchF,YchF,2.0
CPLX0-1,reduced flavorubredoxin,anaerobic nitric oxide reductase flavorubredoxin,NorV,4.0
CPLX0-8245,regulator of CsrB and CsrC decay,regulator of CsrB and CsrC decay,CsrD,4.0
CPLX0-7939,regulator of KefC-mediated potassium transport and quinone oxidoreductase,regulator of KefC-mediated potassium transport and quinone oxidoreductase,KefF,2.0
CPLX0-7623,"regulator of acid resistance, influenced by indole","regulator of acid resistance, influenced by indole",AriR,2.0
CPLX0-3927,regulatory ATPase RavA,regulatory ATPase RavA,RavA,6.0
CPLX0-3621,replicative DNA helicase,replicative DNA helicase,DnaB,6.0
RUVABC-CPLX,resolvasome,Holliday junction branch migration complex subunit RuvA,RuvA,4.0
RUVABC-CPLX,resolvasome,Holliday junction branch migration complex subunit RuvB,RuvB,12.0
RUVABC-CPLX,resolvasome,crossover junction endodeoxyribonuclease RuvC,RuvC,2.0
RHAMNULPALDOL-CPLX,rhamnulose-1-phosphate aldolase,rhamnulose-1-phosphate aldolase,RhaD,4.0
CPLX0-3952,riboflavin synthase,riboflavin synthase,RibC,3.0
CPLX0-7647,ribokinase,ribokinase,RbsK,2.0
CPLX0-3601,ribonuclease BN,ribonuclease BN,Rbn,2.0
CPLX0-3461,ribonuclease E,ribonuclease E,Rne,4.0
CPLX0-1642,ribonuclease E inhibitor protein A,ribonuclease E inhibitor protein A,RraA,3.0
CPLX0-8096,ribonuclease E inhibitor protein B,ribonuclease E inhibitor protein B,RraB,2.0
RIBONUCLEOSIDE-DIP-REDUCTI-CPLX,ribonucleoside-diphosphate reductase 1,cell division protein FtsB,FtsB,2.0
RIBONUCLEOSIDE-DIP-REDUCTI-CPLX,ribonucleoside-diphosphate reductase 1,ribonucleoside-diphosphate reductase 1 subunit α,NrdA,2.0
B1-CPLX,"ribonucleoside-diphosphate reductase 1, α subunit dimer",ribonucleoside-diphosphate reductase 1 subunit α,NrdA,2.0
B2-CPLX,"ribonucleoside-diphosphate reductase 1, β subunit dimer",cell division protein FtsB,FtsB,2.0
RIBONUCLEOSIDE-DIP-REDUCTII-CPLX,ribonucleoside-diphosphate reductase 2,ribonucleoside-diphosphate reductase 2 subunit α,NrdE,2.0
RIBONUCLEOSIDE-DIP-REDUCTII-CPLX,ribonucleoside-diphosphate reductase 2,ribonucleoside-diphosphate reductase 2 subunit β,NrdF,2.0
NRDE-CPLX,"ribonucleoside-diphosphate reductase 2, α subunit dimer",ribonucleoside-diphosphate reductase 2 subunit α,NrdE,2.0
NRDF-CPLX,"ribonucleoside-diphosphate reductase 2, β subunit dimer",ribonucleoside-diphosphate reductase 2 subunit β,NrdF,2.0
ABC-28-CPLX,ribose ABC transporter,ribose ABC transporter ATP binding subunit,RbsA,1.0
ABC-28-CPLX,ribose ABC transporter,ribose ABC transporter periplasmic binding protein,RbsB,1.0
ABC-28-CPLX,ribose ABC transporter,ribose ABC transporter membrane subunit,RbsC,2.0
RIB5PISOMA-CPLX,ribose-5-phosphate isomerase A,ribose-5-phosphate isomerase A,RpiA,2.0
CPLX0-8299,ribose-phosphate diphosphokinase,ribose-phosphate diphosphokinase,Prs,6.0
CPLX0-7946,ribosomal protein S6 modification protein,ribosomal protein S6 modification protein,RimK,4.0
CPLX0-8112,ribosomal protein-arginine oxygenase,ribosomal protein-arginine oxygenase,YcfD,2.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L1,RplA,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L2,RplB,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L3,RplC,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L4,RplD,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L5,RplE,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L6,RplF,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L9,RplI,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L10,RplJ,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L11,RplK,1.0
CPLX0-3964,ribosome,"50S ribosomal subunit protein L7 // ""50S ribosomal subunit protein L12""",RplL,4.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L13,RplM,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L14,RplN,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L15,RplO,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L16,RplP,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L17,RplQ,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L18,RplR,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L19,RplS,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L20,RplT,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L21,RplU,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L22,RplV,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L23,RplW,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L24,RplX,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L25,RplY,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L27,RpmA,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L28,RpmB,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L29,RpmC,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L30,RpmD,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L31,RpmE,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L32,RpmF,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L33,RpmG,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L34,RpmH,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L35,RpmI,1.0
CPLX0-3964,ribosome,50S ribosomal subunit protein L36,RpmJ,1.0
CPLX0-3964,ribosome,30S ribosomal subunit protein S1,RpsA,1.0
CPLX0-3964,ribosome,30S ribosomal subunit protein S2,RpsB,1.0
CPLX0-3964,ribosome,30S ribosomal subunit protein S3,RpsC,1.0
CPLX0-3964,ribosome,30S ribosomal subunit protein S4,RpsD,1.0
CPLX0-3964,ribosome,30S ribosomal subunit protein S5,RpsE,1.0
CPLX0-3964,ribosome,30S ribosomal subunit protein S6,RpsF,1.0
CPLX0-3964,ribosome,30S ribosomal subunit protein S7,RpsG,1.0
CPLX0-3964,ribosome,30S ribosomal subunit protein S8,RpsH,1.0
CPLX0-3964,ribosome,30S ribosomal subunit protein S9,RpsI,1.0
CPLX0-3964,ribosome,30S ribosomal subunit protein S10,RpsJ,1.0
CPLX0-3964,ribosome,30S ribosomal subunit protein S11,RpsK,1.0
CPLX0-3964,ribosome,30S ribosomal subunit protein S12,RpsL,1.0
CPLX0-3964,ribosome,30S ribosomal subunit protein S13,RpsM,1.0
CPLX0-3964,ribosome,30S ribosomal subunit protein S14,RpsN,1.0
CPLX0-3964,ribosome,30S ribosomal subunit protein S15,RpsO,1.0
CPLX0-3964,ribosome,30S ribosomal subunit protein S16,RpsP,1.0
CPLX0-3964,ribosome,30S ribosomal subunit protein S17,RpsQ,1.0
CPLX0-3964,ribosome,30S ribosomal subunit protein S18,RpsR,1.0
CPLX0-3964,ribosome,30S ribosomal subunit protein S19,RpsS,1.0
CPLX0-3964,ribosome,30S ribosomal subunit protein S20,RpsT,1.0
CPLX0-3964,ribosome,30S ribosomal subunit protein S21,RpsU,1.0
CPLX0-3964,ribosome,30S ribosomal subunit protein S22,Sra,1.0
CPLX0-8311,ribosome-dependent mRNA interferase,ribosome-dependent mRNA interferase toxin YoeB,YoeB,2.0
RIBULOKIN-CPLX,ribulokinase,ribulokinase,AraB,2.0
CPLX0-1601,selenate reductase,putative selenate reductase YnfE,YnfE,1.0
CPLX0-1601,selenate reductase,putative selenate reductase YnfF,YnfF,1.0
CPLX0-1601,selenate reductase,putative oxidoreductase YnfG,YnfG,1.0
CPLX0-1601,selenate reductase,putative menaquinol dehydrogenase,YnfH,1.0
CPLX0-7957,"selenide, water dikinase","selenide, water dikinase",SelD,2.0
CPLX0-1141,selenocysteine synthase,selenocysteine synthase,SelA,10.0
ARCB-CPLX,sensor histidine kinase ArcB,"ArcB-N-phospho-L-histidine-292 // ""ArcB-phospho-L-aspartate-576"" // ""ArcB-N-phospho-L-histidine-717"" // ""sensor histidine kinase ArcB""",ArcB,2.0
CPLX0-7870,sensor histidine kinase AtoS,sensor histidine kinase AtoS,AtoS,2.0
CPLX0-8302,sensor histidine kinase BarA,"BarA-N-phospho-L-histidine-861 // ""BarA-N-phospho-L-histidine-302"" // ""BarA-phospho-L-aspartate-718"" // ""sensor histidine kinase BarA""",BarA,2.0
CPLX0-8270,sensor histidine kinase CpxA,"CpxA-N-phospho-L-histidine // ""sensor histidine kinase CpxA""",CpxA,2.0
CREC-CPLX,sensor histidine kinase CreC,sensory histidine kinase CreC,CreC,2.0
CPLX0-8288,sensor histidine kinase CusS,"CusS-N-phospho-L-histidine // ""sensor histidine kinase CusS""",CusS,2.0
CPLX0-8307,sensor histidine kinase DcuS,"DcuS-N-phospho-L-histidine // ""sensor histidine kinase DcuS""",DcuS,2.0
ENVZ-CPLX,sensor histidine kinase EnvZ,sensor histidine kinase EnvZ,EnvZ,2.0
PHOR-CPLX,sensor histidine kinase PhoR,sensor histidine kinase PhoR,PhoR,2.0
CPLX0-8275,sensory histidine kinase GlrK,"sensory histidine kinase GlrK - phosphorylated // ""sensory histidine kinase GlrK""",GlrK,2.0
KDPD-CPLX,sensory histidine kinase KdpD,sensory histidine kinase KdpD,KdpD,2.0
PHOSPHO-KDPD,sensory histidine kinase KdpD - phosphorylated,sensory histidine kinase KdpD,KdpD,2.0
NARQ-CPLX,sensory histidine kinase NarQ,"sensory histidine kinase NarQ  - phosphorylated // ""sensory histidine kinase NarQ""",NarQ,2.0
PHOSPHO-NARQ,sensory histidine kinase NarQ  - phosphorylated,"sensory histidine kinase NarQ  - phosphorylated // ""sensory histidine kinase NarQ""",NarQ,2.0
NARX-CPLX,sensory histidine kinase NarX,"Phosphorylated DNA-binding transcriptional dual regulator NarL // ""DNA-binding transcriptional dual regulator NarL""",NarL,2.0
PHOSPHO-NARX,sensory histidine kinase NarX - phosphorylated,"Phosphorylated DNA-binding transcriptional dual regulator NarL // ""DNA-binding transcriptional dual regulator NarL""",NarL,2.0
GLNL-CPLX,sensory histidine kinase NtrB,sensory histidine kinase NtrB,GlnL,2.0
PROTEIN-NRIIP,sensory histidine kinase NtrB - phosphorylated,sensory histidine kinase NtrB,GlnL,2.0
TORS-CPLX,sensory histidine kinase TorS,sensory histidine kinase TorS,TorS,2.0
CPLX0-8267,sensory histidine kinase TorS - asp723 phosphorylated,sensory histidine kinase TorS,TorS,2.0
CPLX0-8265,sensory histidine kinase TorS - his443 phosphorylated,sensory histidine kinase TorS,TorS,2.0
